name,price ($),weight (kg),length (m),width (m),height (m),shipment date,destination port
Gaming Console,789.95,2.6,0.39,0.33,0.17,2023-03-22,Port of Tianjin (China)
Small Box,7.55,0.15,0.26,0.21,0.14,2023-03-14,Port of Busan (South Korea)
Jar of Peanut Butter,9.66,0.38,0.18,0.13,0.15,2023-03-20,Port of Shanghai (China)
Soccer Ball,15.12,0.6,0.21,0.25,0.21,2023-03-27,Port of Busan (South Korea)
Running Shoes,76.63,1.13,0.43,0.17,0.18,2023-03-16,Port of Singapore (Singapore)
Coffee Beans,30.15,1.12,0.4,0.2,0.13,2023-03-25,Port of Tokyo (Japan)
Pallete of Breakfast Cereal,166.79,372.34,1.15,0.85,1.49,2023-03-24,Port of Busan (South Korea)
Sneakers,50.19,0.84,0.29,0.22,0.39,2023-03-16,Port of Shanghai (China)
Bookshelf,78.04,17.31,1.34,0.36,0.83,2023-03-22,Port of Singapore (Singapore)
Armchair,745.94,16.69,0.62,0.72,0.91,2023-03-28,Port of Shanghai (China)
Armchair,237.59,39.47,1.19,0.92,0.94,2023-03-28,Port of Tianjin (China)
Cement Bag,22.52,20.06,0.35,0.32,0.39,2023-03-27,Port of Busan (South Korea)
Bottle of Olive Oil,10.31,0.59,0.22,0.12,0.16,2023-03-26,Port of Singapore (Singapore)
Bed,299.54,70.8,2.18,1.59,1.17,2023-03-28,Port of Busan (South Korea)
Stone Slabs,191.16,94.55,0.95,0.64,0.09,2023-03-26,Port of Shanghai (China)
Pool Table,868.34,165.23,2.36,1.22,0.5,2023-03-15,Port of Busan (South Korea)
Resistance Loop Bands,20.03,0.23,0.22,0.02,0.03,2023-03-15,Port of Busan (South Korea)
Hair Dryer,61.27,1.67,0.21,0.2,0.17,2023-03-23,Port of Tokyo (Japan)
Pallete of Musical Instruments,789.58,1544.74,1.04,1.07,0.58,2023-03-28,Port of Tianjin (China)
Desktop Computer,632.42,5.02,0.42,0.35,0.73,2023-03-19,Port of Tokyo (Japan)
Pallete of Plants,246.66,555.42,1.13,0.94,1.35,2023-03-13,Port of Singapore (Singapore)
Large Box,28.0,0.81,0.86,0.51,0.37,2023-03-18,Port of Tokyo (Japan)
Large Box,25.22,0.86,0.8,0.49,0.36,2023-03-26,Port of Singapore (Singapore)
Portable Charger,48.64,0.32,0.12,0.1,0.04,2023-03-23,Port of Singapore (Singapore)
Coffee Beans,6.19,1.37,0.27,0.14,0.09,2023-03-18,Port of Shanghai (China)
Box of Clothes,77.31,4.48,0.5,0.41,0.5,2023-03-12,Port of Singapore (Singapore)
Briefcase,55.71,2.19,0.55,0.55,0.29,2023-03-14,Port of Tianjin (China)
Big Bag with Debris,95.57,1050.12,1.28,1.04,0.27,2023-03-20,Port of Tianjin (China)
Pallete of Shoes,497.93,1386.41,1.02,0.89,1.3,2023-03-14,Port of Singapore (Singapore)
Pallete of Breakfast Cereal,196.76,434.93,1.06,0.83,1.37,2023-03-17,Port of Busan (South Korea)
Fridge,898.9,115.43,1.17,0.7,0.78,2023-03-15,Port of Tokyo (Japan)
Pallete of Apples,73.23,205.06,1.06,0.87,0.51,2023-03-14,Port of Busan (South Korea)
Lawn Mower,253.27,26.66,1.47,1.05,0.43,2023-03-23,Port of Tokyo (Japan)
Box of Clothes,108.61,7.74,0.5,0.68,0.5,2023-03-27,Port of Busan (South Korea)
Box of Toys,72.31,3.92,0.36,0.43,0.5,2023-03-26,Port of Tianjin (China)
Umbrella,35.22,0.46,0.77,0.14,0.26,2023-03-15,Port of Tianjin (China)
Fridge,1008.82,85.11,1.15,0.76,0.72,2023-03-26,Port of Shanghai (China)
Tablets,913.82,0.5,1.09,0.26,0.23,2023-03-14,Port of Busan (South Korea)
Drum Set,500.46,35.45,1.19,0.77,1.42,2023-03-21,Port of Busan (South Korea)
Lawn Mower,239.06,33.15,1.07,0.73,0.56,2023-03-28,Port of Singapore (Singapore)
Big Bag with Plastic Scraps,161.58,1545.5,1.6,0.76,0.26,2023-03-17,Port of Tianjin (China)
Pallete of Dog Food,233.94,484.73,1.03,0.97,1.29,2023-03-13,Port of Tianjin (China)
Air Conditioner,719.22,61.18,0.68,0.5,0.29,2023-03-27,Port of Singapore (Singapore)
Flute,186.07,0.13,0.21,0.04,0.09,2023-03-22,Port of Busan (South Korea)
Metal Pipes,61.81,31.35,2.18,0.17,1.23,2023-03-24,Port of Shanghai (China)
Mattress,747.13,45.56,1.52,1.41,0.12,2023-03-19,Port of Tokyo (Japan)
Portable Charger,21.56,0.27,0.11,0.07,0.04,2023-03-13,Port of Busan (South Korea)
Running Shoes,69.33,0.74,0.4,0.18,0.16,2023-03-13,Port of Tokyo (Japan)
Medium Flat Rate Box,19.74,0.64,0.74,0.22,0.28,2023-03-15,Port of Shanghai (China)
ATV,3156.71,459.04,2.66,1.03,1.27,2023-03-14,Port of Tianjin (China)
Wireless Earbuds,233.25,0.07,0.18,0.23,0.09,2023-03-13,Port of Shanghai (China)
Big Bag with Debris,106.48,761.66,1.21,0.73,0.15,2023-03-14,Port of Busan (South Korea)
Pallete of Computers,812.77,2177.17,1.1,0.66,0.6,2023-03-27,Port of Singapore (Singapore)
Pruning Shears,16.3,0.41,0.29,0.05,0.07,2023-03-15,Port of Singapore (Singapore)
Backpacking Tent,160.29,2.73,2.11,1.64,1.64,2023-03-21,Port of Singapore (Singapore)
Headphones,138.89,0.23,0.18,0.19,0.06,2023-03-18,Port of Tokyo (Japan)
Wine Opener,10.69,0.38,0.11,0.19,0.07,2023-03-25,Port of Tokyo (Japan)
Pallete of Dog Food,196.58,439.32,1.03,0.92,1.45,2023-03-18,Port of Busan (South Korea)
Small Box,6.63,0.28,0.29,0.27,0.18,2023-03-21,Port of Singapore (Singapore)
Pallete of Chairs,1000.32,3160.22,1.47,1.08,1.02,2023-03-19,Port of Singapore (Singapore)
Medium Box,16.44,0.6,0.56,0.36,0.25,2023-03-28,Port of Busan (South Korea)
Carton of Eggs,6.8,0.75,0.19,0.08,0.1,2023-03-21,Port of Tianjin (China)
Guitar,81.59,4.09,0.94,0.48,0.07,2023-03-27,Port of Busan (South Korea)
Apples,68.12,294.04,0.97,0.6,0.7,2023-03-25,Port of Singapore (Singapore)
Tea Leaves,124.21,186.59,0.4,0.55,0.34,2023-03-20,Port of Tokyo (Japan)
Pallete of Frozen Meat,774.2,1392.35,1.2,0.9,1.35,2023-03-21,Port of Busan (South Korea)
Smart Home Devices,314.23,0.15,2.12,1.76,0.21,2023-03-28,Port of Shanghai (China)
Kitchen Knife Set,79.87,2.75,0.5,0.14,0.03,2023-03-12,Port of Busan (South Korea)
Bathroom Scale,12.06,2.27,0.36,0.39,0.03,2023-03-12,Port of Busan (South Korea)
MDF Boards,26.44,5.91,1.99,0.8,0.06,2023-03-14,Port of Singapore (Singapore)
Coffee Maker,136.12,2.89,0.25,0.24,0.29,2023-03-20,Port of Singapore (Singapore)
Coffee Beans,358.65,116.28,0.26,0.16,0.17,2023-03-12,Port of Singapore (Singapore)
Pallete of Paper Towels,270.96,664.84,1.32,0.9,0.5,2023-03-26,Port of Tianjin (China)
Refrigerator,981.69,66.71,1.11,0.74,1.18,2023-03-18,Port of Tianjin (China)
Piano,3760.06,252.97,1.06,1.9,0.84,2023-03-19,Port of Shanghai (China)
Messenger Bag,39.22,0.95,0.28,0.35,0.14,2023-03-22,Port of Singapore (Singapore)
Coffee Maker,170.22,2.8,0.27,0.23,0.25,2023-03-20,Port of Busan (South Korea)
Coffee Table,176.83,10.84,0.68,0.47,0.39,2023-03-18,Port of Shanghai (China)
Small Desk,63.54,12.76,0.97,0.77,0.8,2023-03-24,Port of Tokyo (Japan)
Hair Dryer,62.59,1.1,0.31,0.13,0.12,2023-03-28,Port of Busan (South Korea)
Suitcase,44.24,3.8,0.63,0.95,0.3,2023-03-28,Port of Tokyo (Japan)
Couch,545.9,97.34,1.81,1.41,0.85,2023-03-22,Port of Tokyo (Japan)
Medium Box,12.42,0.46,0.6,0.36,0.25,2023-03-13,Port of Tianjin (China)
Speakers,163.07,3.94,0.2,0.38,0.48,2023-03-12,Port of Tianjin (China)
Microwave Oven,121.32,13.75,0.52,0.53,0.26,2023-03-24,Port of Busan (South Korea)
Smart Home Devices,271.64,0.27,2.09,1.74,0.42,2023-03-27,Port of Busan (South Korea)
Bananas,194.62,134.3,0.58,0.6,0.7,2023-03-23,Port of Tianjin (China)
Guitar,89.33,4.59,0.83,0.41,0.08,2023-03-28,Port of Tokyo (Japan)
Scooter,84.36,4.91,0.89,0.32,0.37,2023-03-22,Port of Singapore (Singapore)
Can of Beans,1.58,0.26,0.14,0.14,0.14,2023-03-21,Port of Tianjin (China)
Garden Hose,13.5,2.84,26.55,0.24,0.24,2023-03-19,Port of Shanghai (China)
Pallete of Shoes,1510.4,4228.58,1.06,0.8,1.05,2023-03-17,Port of Tianjin (China)
Pallete of Glassware,402.26,505.97,1.32,0.81,0.63,2023-03-23,Port of Singapore (Singapore)
Tablets,427.21,0.62,0.65,0.47,0.33,2023-03-17,Port of Tianjin (China)
Stone Slabs,140.21,79.96,0.76,0.8,0.06,2023-03-20,Port of Tokyo (Japan)
Box of Crackers,5.04,0.29,0.13,0.06,0.08,2023-03-26,Port of Tokyo (Japan)
Big Bag with Sand,60.06,567.41,1.33,0.87,0.14,2023-03-22,Port of Tokyo (Japan)
Wine Bottle,21.58,1.25,0.24,0.2,0.32,2023-03-22,Port of Shanghai (China)
Dumbbell Set,267.55,30.68,0.85,0.73,0.27,2023-03-28,Port of Busan (South Korea)
Electric Guitar,765.73,2.96,1.34,0.37,0.14,2023-03-15,Port of Tokyo (Japan)
Small Box,5.44,0.19,0.24,0.28,0.11,2023-03-12,Port of Shanghai (China)
Soap Dispenser,12.32,0.69,0.1,0.14,0.27,2023-03-25,Port of Shanghai (China)
Lawn Mower,139.58,25.62,1.46,0.62,0.5,2023-03-20,Port of Shanghai (China)
Pineapple (Canned),148.32,69.27,0.4,0.3,0.3,2023-03-14,Port of Tianjin (China)
Tomatoes (Canned),1289.38,90.84,0.4,0.3,0.3,2023-03-12,Port of Busan (South Korea)
Garden Hose,18.46,2.71,24.72,0.32,0.16,2023-03-13,Port of Tianjin (China)
Pallete of Breakfast Cereal,142.91,398.13,1.13,0.92,1.31,2023-03-13,Port of Tokyo (Japan)
Corn (Canned),22.85,70.02,0.4,0.3,0.3,2023-03-13,Port of Tokyo (Japan)
Big Bag with Fertilizer,89.24,515.06,1.29,0.69,0.11,2023-03-24,Port of Singapore (Singapore)
Beach Towel,14.24,0.61,1.36,1.49,0.08,2023-03-22,Port of Tokyo (Japan)
Dining Table,1116.93,85.46,1.99,1.41,1.27,2023-03-19,Port of Tokyo (Japan)
PC Mice,116.04,0.16,1.02,0.44,0.16,2023-03-20,Port of Singapore (Singapore)
Mattress,647.76,39.83,2.13,1.23,0.21,2023-03-20,Port of Tokyo (Japan)
Blender,72.97,3.81,0.26,0.38,0.24,2023-03-15,Port of Singapore (Singapore)
Compost Bin,57.51,11.36,0.78,0.77,0.6,2023-03-19,Port of Shanghai (China)
Resistance Loop Bands,33.43,0.35,0.18,0.03,0.03,2023-03-21,Port of Shanghai (China)
Jump Rope,12.21,0.22,0.05,0.1,0.01,2023-03-17,Port of Shanghai (China)
Palette Water Bottles,321.89,955.56,1.2,0.88,1.0,2023-03-19,Port of Tianjin (China)
Pallete of Wine Bottles,377.99,955.94,1.15,1.07,0.22,2023-03-28,Port of Tianjin (China)
Medium Box,18.98,0.58,0.57,0.33,0.27,2023-03-27,Port of Busan (South Korea)
Medium Flat Rate Box,15.53,0.5,0.57,0.59,0.11,2023-03-12,Port of Shanghai (China)
Hiking Boots,146.91,2.43,0.33,0.42,0.39,2023-03-16,Port of Busan (South Korea)
Coffee Maker,97.67,2.16,0.22,0.3,0.28,2023-03-24,Port of Tianjin (China)
Desk Lamp,142.95,1.4,0.23,0.12,0.6,2023-03-20,Port of Shanghai (China)
Pallete of Canned Vegetables,101.73,375.69,1.18,0.88,1.47,2023-03-12,Port of Tokyo (Japan)
Sofa,256.05,46.07,2.48,1.17,0.6,2023-03-12,Port of Shanghai (China)
Electric Shaver,99.14,0.21,0.16,0.03,0.08,2023-03-25,Port of Singapore (Singapore)
Headphones,112.77,0.14,0.15,0.18,0.05,2023-03-20,Port of Tianjin (China)
Tomatoes (Canned),1267.5,51.05,0.4,0.3,0.3,2023-03-26,Port of Shanghai (China)
Piano,1190.85,251.79,1.15,1.53,0.97,2023-03-15,Port of Tokyo (Japan)
Piano,2518.24,211.14,1.31,1.54,1.1,2023-03-20,Port of Shanghai (China)
Running Shoes,35.42,0.94,0.48,0.21,0.15,2023-03-27,Port of Busan (South Korea)
Hedge Trimmer,95.31,4.16,0.97,0.35,0.28,2023-03-26,Port of Tokyo (Japan)
Running Shoes,61.08,0.56,0.22,0.32,0.14,2023-03-14,Port of Singapore (Singapore)
Big Bag with Plastic Scraps,172.75,1608.11,1.59,0.81,0.15,2023-03-24,Port of Singapore (Singapore)
Shelves,200.59,11.25,1.17,0.3,1.11,2023-03-27,Port of Singapore (Singapore)
Box of Pasta,6.06,0.79,0.24,0.11,0.2,2023-03-23,Port of Tokyo (Japan)
Camera,870.48,0.68,0.2,0.13,0.06,2023-03-28,Port of Tokyo (Japan)
Pruning Shears,13.27,0.49,0.28,0.08,0.08,2023-03-19,Port of Singapore (Singapore)
Medium Box,16.3,0.58,0.57,0.35,0.25,2023-03-28,Port of Tianjin (China)
Large Flat Rate Box,39.74,0.68,0.98,0.56,0.4,2023-03-22,Port of Shanghai (China)
Pool Table,737.33,111.97,2.02,1.14,0.58,2023-03-26,Port of Shanghai (China)
Fitness Trackers,137.52,0.16,0.35,0.53,0.19,2023-03-17,Port of Shanghai (China)
Big Bag with Food Ingredients,176.2,723.63,1.19,0.85,0.14,2023-03-18,Port of Tokyo (Japan)
Box of Books,45.52,10.6,0.14,0.38,0.08,2023-03-14,Port of Tianjin (China)
Pallete of Beer Cases,231.01,566.79,1.07,0.8,1.11,2023-03-18,Port of Shanghai (China)
Pallete of Snacks,104.83,469.66,1.0,0.92,1.25,2023-03-18,Port of Shanghai (China)
Water Bottle,16.28,0.61,0.25,0.21,0.09,2023-03-18,Port of Busan (South Korea)
Medium Box,14.85,0.56,0.41,0.32,0.28,2023-03-24,Port of Busan (South Korea)
Running Shoes,51.34,1.26,0.37,0.38,0.19,2023-03-13,Port of Shanghai (China)
Small Desk,147.65,14.26,0.89,0.7,0.82,2023-03-12,Port of Tianjin (China)
Pallete of Cement,392.67,899.1,1.38,0.88,1.2,2023-03-13,Port of Tokyo (Japan)
Microwave,184.43,12.2,0.59,0.6,0.27,2023-03-25,Port of Busan (South Korea)
Cookware Set,246.06,7.0,0.34,0.43,0.12,2023-03-17,Port of Shanghai (China)
Box of Chocolate Bar,32.3,2.95,0.55,0.3,0.1,2023-03-28,Port of Singapore (Singapore)
Foam Roller,44.13,0.91,0.39,0.19,0.2,2023-03-26,Port of Tianjin (China)
Pallete of Breakfast Cereal,199.03,388.67,1.04,0.87,1.49,2023-03-28,Port of Singapore (Singapore)
Garden Cart,98.79,17.78,1.02,0.95,0.36,2023-03-25,Port of Singapore (Singapore)
Extra Large Box,40.52,1.13,1.46,0.62,0.47,2023-03-28,Port of Shanghai (China)
Paper Towel Holder,29.43,0.59,0.21,0.18,0.21,2023-03-16,Port of Tianjin (China)
Electric Kettle,32.9,1.8,0.27,0.3,0.24,2023-03-22,Port of Singapore (Singapore)
Beach Towel,12.77,0.69,1.47,0.68,0.13,2023-03-26,Port of Singapore (Singapore)
Coffee Beans,28.18,1.78,0.24,0.26,0.17,2023-03-22,Port of Busan (South Korea)
Large Flat Rate Box,27.43,0.73,0.74,0.53,0.37,2023-03-20,Port of Tianjin (China)
Pallete of Frozen Fish,461.38,1110.3,1.17,0.91,1.45,2023-03-15,Port of Singapore (Singapore)
Medium Shipping Tube,8.56,0.33,0.47,0.22,0.64,2023-03-17,Port of Busan (South Korea)
Printer,313.07,6.25,0.35,0.28,0.38,2023-03-14,Port of Tokyo (Japan)
Large Padded Envelope,8.18,0.28,0.28,0.12,0.08,2023-03-24,Port of Shanghai (China)
Stone Slabs,124.66,74.28,0.54,0.79,0.06,2023-03-26,Port of Busan (South Korea)
Planting Trowel,10.69,0.31,0.18,0.08,0.05,2023-03-15,Port of Singapore (Singapore)
MDF Boards,23.9,5.22,1.85,0.56,0.07,2023-03-15,Port of Tokyo (Japan)
Lawn Edger,67.3,9.14,1.12,0.45,0.22,2023-03-13,Port of Tianjin (China)
Scooter,96.69,3.88,1.17,0.45,0.21,2023-03-25,Port of Tianjin (China)
Compost Bin,48.46,8.59,0.89,0.82,0.88,2023-03-16,Port of Singapore (Singapore)
Electric Toothbrush,117.42,0.26,0.19,0.02,0.09,2023-03-19,Port of Tianjin (China)
Laptop,486.23,1.39,0.34,0.33,0.04,2023-03-13,Port of Busan (South Korea)
Plywood Sheets,41.42,10.17,1.38,0.97,0.02,2023-03-22,Port of Tianjin (China)
Couch,310.72,91.76,2.04,1.12,0.83,2023-03-20,Port of Singapore (Singapore)
Bicycle,109.5,12.54,1.34,0.48,1.18,2023-03-25,Port of Busan (South Korea)
Compost Bin,35.15,13.69,0.58,0.6,0.57,2023-03-26,Port of Busan (South Korea)
Insulation Rolls,18.24,5.35,1.45,0.99,0.09,2023-03-26,Port of Tianjin (China)
Coffee Beans,36.42,1.63,0.34,0.2,0.17,2023-03-16,Port of Busan (South Korea)
Pallete of Musical Instruments,707.37,1650.75,1.16,0.97,0.51,2023-03-19,Port of Tianjin (China)
Small Box,7.16,0.12,0.27,0.23,0.17,2023-03-19,Port of Tianjin (China)
Jet Ski,3112.46,129.99,2.23,1.04,0.98,2023-03-22,Port of Tianjin (China)
Water Heater,51.44,12.0,0.51,0.29,0.14,2023-03-18,Port of Tianjin (China)
Small Padded Envelope,4.01,0.17,0.11,0.05,0.02,2023-03-26,Port of Tianjin (China)
Rain Jacket,65.83,0.53,0.26,0.26,0.14,2023-03-22,Port of Tianjin (China)
Large Flat Rate Box,27.02,1.12,1.13,0.75,0.32,2023-03-23,Port of Tianjin (China)
Large Desk,134.67,20.76,1.65,0.92,0.8,2023-03-22,Port of Shanghai (China)
Kitchen Timer,9.35,0.22,0.17,0.16,0.19,2023-03-13,Port of Shanghai (China)
Big Bag with Food Ingredients,162.88,925.92,1.36,0.54,0.16,2023-03-17,Port of Tianjin (China)
Pallete of Tables,2170.33,5534.69,1.76,1.11,1.37,2023-03-12,Port of Shanghai (China)
Pallete of Cookies,89.64,248.32,1.08,0.85,1.45,2023-03-13,Port of Busan (South Korea)
Computer Monitor,324.17,5.96,0.8,0.33,0.1,2023-03-16,Port of Shanghai (China)
Big Bag with Metal Scraps,160.92,1681.72,1.94,0.96,0.18,2023-03-15,Port of Tianjin (China)
Stone Slabs,121.54,89.83,0.57,0.81,0.05,2023-03-19,Port of Singapore (Singapore)
Washing machine,865.22,77.75,0.75,0.69,0.58,2023-03-15,Port of Tianjin (China)
Extra Large Box,53.17,1.24,1.06,0.65,0.47,2023-03-25,Port of Tokyo (Japan)
Electric Toothbrush,93.42,0.11,0.14,0.03,0.08,2023-03-20,Port of Tianjin (China)
Desktop Computer,874.75,7.93,0.4,0.54,0.35,2023-03-14,Port of Busan (South Korea)
Bicycle,74.76,18.14,1.39,0.69,1.0,2023-03-12,Port of Singapore (Singapore)
Hedge Trimmer,149.2,5.65,1.09,0.22,0.25,2023-03-27,Port of Busan (South Korea)
Office Chair,136.16,12.4,0.52,0.79,1.08,2023-03-27,Port of Singapore (Singapore)
Water Heater,122.59,6.1,0.49,0.39,0.17,2023-03-22,Port of Tianjin (China)
Dining Table,369.85,94.39,1.91,0.77,0.96,2023-03-18,Port of Tianjin (China)
Oranges,67.92,251.46,0.49,0.66,0.7,2023-03-21,Port of Tianjin (China)
Mattress,378.86,23.11,2.38,1.25,0.15,2023-03-14,Port of Shanghai (China)
Medium Shipping Tube,11.01,0.25,0.31,0.27,0.87,2023-03-24,Port of Singapore (Singapore)
Briefcase,59.56,1.04,0.67,0.64,0.22,2023-03-14,Port of Shanghai (China)
Small Bubble Mailer,2.53,0.08,0.18,0.08,0.03,2023-03-19,Port of Shanghai (China)
Small Box,5.77,0.22,0.27,0.21,0.16,2023-03-27,Port of Singapore (Singapore)
Big Bag with Coal,115.98,1527.45,1.94,0.95,0.17,2023-03-27,Port of Shanghai (China)
Running Shoes,41.81,0.69,0.36,0.21,0.13,2023-03-16,Port of Tokyo (Japan)
Desk Lamp,105.65,1.02,0.28,0.16,0.29,2023-03-13,Port of Tokyo (Japan)
Piano,12581.5,478.4,1.88,0.94,1.47,2023-03-27,Port of Singapore (Singapore)
Gaming Console,453.05,4.66,0.32,0.24,0.05,2023-03-21,Port of Busan (South Korea)
Refrigerator,1344.92,111.93,0.73,0.62,1.03,2023-03-25,Port of Busan (South Korea)
Medium Shipping Tube,8.02,0.26,0.34,0.1,0.97,2023-03-27,Port of Singapore (Singapore)
Speakers,304.13,6.72,0.32,0.44,0.48,2023-03-14,Port of Shanghai (China)
Weed Eater,55.68,5.98,1.05,0.25,0.17,2023-03-19,Port of Tianjin (China)
Sleeping Bag,94.86,2.1,1.18,0.67,0.23,2023-03-23,Port of Shanghai (China)
Pallete of Wine Bottles,423.25,942.68,1.15,0.56,1.05,2023-03-24,Port of Tokyo (Japan)
Big Bag with Coal,101.31,1318.81,1.62,0.71,0.27,2023-03-19,Port of Tokyo (Japan)
Oranges,51.3,364.73,0.45,0.69,0.7,2023-03-24,Port of Shanghai (China)
Floor Lamp,43.83,2.48,0.35,0.43,1.2,2023-03-16,Port of Tokyo (Japan)
Small Flat Rate Box,9.76,0.3,0.23,0.28,0.09,2023-03-25,Port of Tokyo (Japan)
Wooden Planks,23.41,14.4,1.12,0.16,0.55,2023-03-15,Port of Singapore (Singapore)
E-Reader,278.93,0.4,0.19,0.21,0.02,2023-03-24,Port of Tianjin (China)
Stone Slabs,110.32,53.17,0.53,0.95,0.09,2023-03-13,Port of Busan (South Korea)
Wheat Flour,75.78,3.29,0.4,0.5,0.3,2023-03-26,Port of Tianjin (China)
Air Conditioners,2681.06,260.64,0.87,0.6,0.61,2023-03-16,Port of Singapore (Singapore)
Electric Shaver,33.36,0.11,0.1,0.03,0.05,2023-03-25,Port of Singapore (Singapore)
Headphones,77.2,0.22,0.12,0.18,0.12,2023-03-28,Port of Busan (South Korea)
Camera,929.36,1.45,0.18,0.17,0.08,2023-03-13,Port of Busan (South Korea)
Desk Lamp,27.24,0.55,0.15,0.21,0.4,2023-03-22,Port of Singapore (Singapore)
Bluetooth Speaker,88.94,1.02,0.23,0.27,0.14,2023-03-18,Port of Shanghai (China)
Guitar,82.47,4.99,0.69,0.47,0.07,2023-03-17,Port of Tianjin (China)
Pool Table,871.87,128.37,2.46,1.04,0.5,2023-03-18,Port of Singapore (Singapore)
Medium Flat Rate Box,23.99,0.33,0.43,0.52,0.15,2023-03-12,Port of Tokyo (Japan)
Portable Charger,37.09,0.43,0.18,0.08,0.02,2023-03-18,Port of Busan (South Korea)
Camera,610.38,1.27,0.15,0.16,0.08,,Port of Tianjin (China)
Skipping Rope,10.76,0.18,1.52,0.07,0.01,2023-03-15,Port of Singapore (Singapore)
Hair Dryer,25.09,1.38,0.34,0.2,0.11,2023-03-19,Port of Singapore (Singapore)
Watering Can,19.62,0.9,0.35,0.14,0.17,2023-03-12,Port of Busan (South Korea)
Yoga Mat,40.46,2.38,1.21,0.67,0.02,2023-03-21,Port of Shanghai (China)
Coffee Beans,12.03,0.27,0.25,0.13,0.09,2023-03-14,Port of Tianjin (China)
Headphones,140.54,0.25,0.13,0.13,0.11,2023-03-21,Port of Singapore (Singapore)
Television,207.51,7.59,0.89,0.92,0.21,2023-03-28,Port of Tokyo (Japan)
Garden Rake,27.99,2.41,0.92,0.35,0.49,2023-03-23,Port of Tianjin (China)
Box of Clothes,141.07,7.33,0.45,0.61,0.5,2023-03-19,Port of Shanghai (China)
Pallete of Cat Food,162.65,367.35,1.05,0.91,1.24,2023-03-28,Port of Busan (South Korea)
Wheat Flour,48.57,3.68,0.4,0.5,0.3,2023-03-18,Port of Busan (South Korea)
Can of Beans,1.87,0.48,0.11,0.13,0.12,2023-03-28,Port of Shanghai (China)
Pallete of Frozen Fish,428.36,1171.56,1.11,0.86,1.4,2023-03-14,Port of Singapore (Singapore)
Water Bottle,22.74,0.85,0.21,0.24,0.07,2023-03-19,Port of Shanghai (China)
Large Shipping Tube,26.88,0.44,0.52,0.32,1.78,2023-03-20,Port of Tokyo (Japan)
Gardening Gloves,10.37,0.38,0.13,0.08,0.08,2023-03-22,Port of Tokyo (Japan)
Pallete of Glassware,436.5,663.4,1.2,1.2,0.57,2023-03-16,Port of Tianjin (China)
Handheld Mixer,65.33,1.35,0.47,0.4,0.19,2023-03-26,Port of Shanghai (China)
Pallete of Frozen Fish,447.57,1061.56,1.03,0.93,1.5,2023-03-12,Port of Tokyo (Japan)
Printer,246.47,6.98,0.42,0.33,0.31,2023-03-14,Port of Tianjin (China)
Pallete of Computers,953.14,2387.43,1.0,0.6,0.52,2023-03-27,Port of Shanghai (China)
Can of Beans,1.5,0.49,0.11,0.1,0.13,2023-03-16,Port of Singapore (Singapore)
Microwave,54.4,3.51,0.45,0.31,0.23,2023-03-17,Port of Busan (South Korea)
Camera Bag,34.2,1.12,0.35,0.44,0.28,2023-03-28,Port of Tokyo (Japan)
Microwave,86.78,11.49,0.5,0.58,0.27,2023-03-19,Port of Tokyo (Japan)
Assorted Tea Bags,5.0,0.53,0.19,0.11,0.06,2023-03-14,Port of Singapore (Singapore)
Fridge,960.43,95.02,0.81,0.69,0.96,2023-03-27,Port of Singapore (Singapore)
Portable Bluetooth Keyboard,90.4,0.29,0.19,0.06,0.04,2023-03-18,Port of Tianjin (China)
Bed,1461.57,74.28,2.03,1.02,1.23,2023-03-12,Port of Tianjin (China)
Television,580.96,15.92,0.83,0.4,0.19,2023-03-18,Port of Tokyo (Japan)
Palette Water Bottles,523.28,795.9,1.2,0.83,1.0,2023-03-27,Port of Shanghai (China)
Laptop,1735.65,1.24,0.23,0.33,0.04,2023-03-14,Port of Busan (South Korea)
Planting Trowel,9.06,0.11,0.13,0.09,0.08,2023-03-19,Port of Tianjin (China)
Corn (Canned),25.96,88.64,0.4,0.3,0.3,2023-03-20,Port of Singapore (Singapore)
Guitar,148.69,2.44,0.46,0.18,0.17,2023-03-12,Port of Tokyo (Japan)
Carton of Eggs,5.25,0.9,0.18,0.09,0.13,2023-03-23,Port of Shanghai (China)
ATV,4503.98,585.85,2.64,1.11,1.06,2023-03-26,Port of Tianjin (China)
Camera,1100.74,0.8,0.16,0.13,0.07,2023-03-19,Port of Tianjin (China)
Picture Frame,11.15,0.27,0.26,0.16,0.01,2023-03-13,Port of Busan (South Korea)
Extra Large Box,50.64,1.19,1.08,0.64,0.41,2023-03-24,Port of Busan (South Korea)
Steel Bars,186.92,53.62,2.14,0.17,0.65,2023-03-25,Port of Tokyo (Japan)
Piano,8510.74,213.11,1.34,0.7,1.17,2023-03-22,Port of Busan (South Korea)
Pallete of Shoes,1818.57,4673.92,1.09,0.8,1.02,2023-03-19,Port of Tokyo (Japan)
Oranges,108.75,304.09,0.47,0.66,0.7,2023-03-15,Port of Singapore (Singapore)
Pallete of Clothing,184.25,717.88,1.09,0.85,1.28,2023-03-28,Port of Shanghai (China)
Stone Slabs,167.31,79.64,0.55,0.97,0.09,2023-03-21,Port of Busan (South Korea)
Yoga Mat,22.95,1.89,1.63,0.68,0.03,2023-03-28,Port of Tianjin (China)
Box of Chocolate Bar,41.67,2.95,0.7,0.47,0.19,2023-03-18,Port of Singapore (Singapore)
Box of Crackers,3.0,0.29,0.17,0.09,0.08,2023-03-20,Port of Singapore (Singapore)
